stop_id,trip_id,stop_sequence,arrival_time,departure_time,boarding_duration,alighting_duration,pickup_type,drop_off_type,datetime_estimated,local_zone_id,stop_headsign,stop_time_id
StopPoint:OM14112,OM19895151-1_177122,0,11:00:00,11:00:00,0,0,0,1,0,,,
StopPoint:OM11747,OM19895151-1_177122,1,11:00:00,11:00:00,0,0,0,0,0,,,
StopPoint:OM11748,OM19895151-1_177122,2,11:01:00,11:01:00,0,0,0,0,0,,,
StopPoint:OM11749,OM19895151-1_177122,3,11:01:00,11:01:00,0,0,0,0,0,,,
StopPoint:OM11750,OM19895151-1_177122,4,11:02:00,11:02:00,0,0,0,0,0,,,
StopPoint:OM11751,OM19895151-1_177122,5,11:02:00,11:02:00,0,0,0,0,0,,,
StopPoint:OM11752,OM19895151-1_177122,6,11:03:00,11:03:00,0,0,0,0,0,,,
StopPoint:OM11797,OM19895151-1_177122,7,11:04:00,11:04:00,0,0,0,0,0,,,
StopPoint:OM11798,OM19895151-1_177122,8,11:04:00,11:04:00,0,0,0,0,0,,,
StopPoint:OM11799,OM19895151-1_177122,9,11:05:00,11:05:00,0,0,0,0,0,,,
StopPoint:OM11800,OM19895151-1_177122,10,11:06:00,11:06:00,0,0,0,0,0,,,
StopPoint:OM11801,OM19895151-1_177122,11,11:07:00,11:07:00,0,0,0,0,0,,,
StopPoint:OM11802,OM19895151-1_177122,12,11:09:00,11:09:00,0,0,0,0,0,,,
StopPoint:OM11803,OM19895151-1_177122,13,11:10:00,11:10:00,0,0,0,0,0,,,
StopPoint:OM11804,OM19895151-1_177122,14,11:12:00,11:12:00,0,0,0,0,0,,,
StopPoint:OM11805,OM19895151-1_177122,15,11:14:00,11:14:00,0,0,0,0,0,,,
StopPoint:OM11806,OM19895151-1_177122,16,11:14:00,11:14:00,0,0,0,0,0,,,
StopPoint:OM11807,OM19895151-1_177122,17,11:15:00,11:15:00,0,0,0,0,0,,,
StopPoint:OM11808,OM19895151-1_177122,18,11:16:00,11:16:00,0,0,0,0,0,,,
StopPoint:OM12658,OM19895151-1_177122,19,11:16:00,11:16:00,0,0,0,0,0,,,
StopPoint:OM11809,OM19895151-1_177122,20,11:17:00,11:17:00,0,0,0,0,0,,,
StopPoint:OM11810,OM19895151-1_177122,21,11:17:00,11:17:00,0,0,0,0,0,,,
StopPoint:OM11811,OM19895151-1_177122,22,11:18:00,11:18:00,0,0,0,0,0,,,
