route_id,route_name,direction_type,line_id,geometry_id,destination_id
OM110OM179_R,METRO LA FOURRAGERE-LES CAILLOLS HOPITAL,backward,OM110OM179,,
OM110OM179,METRO LA FOURRAGERE-LES CAILLOLS HOPITAL,forward,OM110OM179,,
OM1142OM179_R,METRO LA ROSE-LA FEVE,backward,OM1142OM179,,
OM1142OM179,METRO LA ROSE-LA FEVE,forward,OM1142OM179,,
OM1143OM179_R,METRO LA ROSE-LA MONTADE,backward,OM1143OM179,,
OM1143OM179,METRO LA ROSE-LA MONTADE,forward,OM1143OM179,,
OM1145OM179,METRO LA ROSE-ALLAUCH,forward,OM1145OM179,,
OM1145OM179_R,METRO LA ROSE-ALLAUCH,backward,OM1145OM179,,
OM122OM179,METRO ROND POINT DU PRADO-LES BAUMETTES,forward,OM122OM179,,
OM122OM179_R,METRO ROND POINT DU PRADO-LES BAUMETTES,backward,OM122OM179,,
OM122SOM179,METRO ROND POINT DU PRADO-LA SEIGNEURIE,forward,OM122SOM179,,
OM122SOM179_R,METRO ROND POINT DU PRADO-LA SEIGNEURIE,backward,OM122SOM179,,
