stop_id,stop_name,visible,fare_zone_id,stop_lon,stop_lat,location_type,parent_station,stop_timezone,geometry_id,equipment_id
StopPoint:OM14112,Métro Rond-Point du Prado,1,,5.392388,43.271531,0,StopArea:CTP-OM14112,,,
StopPoint:OM11747,Métro Rond-Point du Prado,1,,5.392521,43.270164,0,StopArea:CTP-OM14112,,,
StopPoint:OM11748,Michelet Huveaune,1,,5.39387,43.26777,0,StopArea:CTP-OM14112,,,
StopPoint:OM11749,Michelet Ramon,1,,5.394792,43.266134,0,StopArea:CTP-OM14112,,,
StopPoint:OM11750,Michelet Ganay,1,,5.395535,43.264827,0,StopArea:CTP-OM14112,,,
StopPoint:OM11751,Michelet Bousquet,1,,5.396592,43.262953,0,StopArea:CTP-OM14112,,,
StopPoint:OM11752,Le Corbusier,1,,5.397615,43.261144,0,StopArea:CTP-OM14112,,,
StopPoint:OM11797,Michelet Luce,1,,5.39884,43.258969,0,StopArea:CTP-OM14112,,,
StopPoint:OM11798,Luce Isaac,1,,5.396653,43.258096,0,StopArea:CTP-OM14112,,,
StopPoint:OM11799,Sainte-Anne,1,,5.394001,43.256822,0,StopArea:CTP-OM14112,,,
StopPoint:OM11800,Sainte-Anne Haifa,1,,5.394044,43.254627,0,StopArea:CTP-OM14112,,,
StopPoint:OM11801,L'Aillaude,1,,5.394482,43.252457,0,StopArea:CTP-OM14112,,,
StopPoint:OM11802,Mazargues Legre,1,,5.396101,43.249812,0,StopArea:CTP-OM14112,,,
StopPoint:OM11803,Jardin Bortoli,1,,5.397738,43.248686,0,StopArea:CTP-OM14112,,,
StopPoint:OM11804,Robespierre,1,,5.401345,43.247118,0,StopArea:CTP-OM14112,,,
StopPoint:OM11805,Mazargues,1,,5.403795,43.245996,0,StopArea:CTP-OM14112,,,
StopPoint:OM11806,Morgiou Seigneurie,1,,5.406221,43.242608,0,StopArea:CTP-OM14112,,,
StopPoint:OM11807,Morgiou Rosiers,1,,5.406903,43.240413,0,StopArea:CTP-OM14112,,,
StopPoint:OM11808,Morgiou Cauviere,1,,5.408733,43.2376,0,StopArea:CTP-OM14112,,,
StopPoint:OM12658,Morgiou Vert Plan,1,,5.410209,43.235768,0,StopArea:CTP-OM14112,,,
StopPoint:OM11809,Morgiou Beauvallon,1,,5.411107,43.234852,0,StopArea:CTP-OM14112,,,
StopPoint:OM11830,Rabat Baumettes,1,,5.412614,43.23382,0,StopArea:CTP-OM14112,,,
StopPoint:OM11831,Rabat Beauvallon,1,,5.413178,43.235387,0,StopArea:CTP-OM14112,,,
StopPoint:OM11832,Rabat Seigneurie,1,,5.413434,43.237196,0,StopArea:CTP-OM14112,,,
StopPoint:OM11833,La Seigneurie,1,,5.414268,43.239213,0,StopArea:CTP-OM14112,,,
StopPoint:OM11834,La Seigneurie,1,,5.414351,43.239381,0,StopArea:CTP-OM14112,,,
StopPoint:OM11835,Rabat Seigneurie,1,,5.413173,43.237608,0,StopArea:CTP-OM14112,,,
StopPoint:OM11836,Rabat Beauvallon,1,,5.412894,43.235377,0,StopArea:CTP-OM14112,,,
StopPoint:OM11810,Baumettes Beauvallon,1,,5.412524,43.233049,0,StopArea:CTP-OM14112,,,
StopPoint:OM11811,Baumettes Rimbaud,1,,5.4141,43.230576,0,StopArea:CTP-OM14112,,,
StopPoint:OM11812,Morgiou Arnaud,1,,5.415236,43.228368,0,StopArea:CTP-OM14112,,,
StopPoint:OM11813,Les Baumettes,1,,5.416414,43.226248,0,StopArea:CTP-OM14112,,,
StopPoint:OM11814,Morgiou Arnaud,1,,5.415379,43.228741,0,StopArea:CTP-OM14112,,,
StopPoint:OM11815,Baumettes Rimbaud,1,,5.414233,43.230761,0,StopArea:CTP-OM14112,,,
StopPoint:OM11816,Beauvallon,1,,5.412005,43.234152,0,StopArea:CTP-OM14112,,,
StopPoint:OM12659,Morgiou Vert Plan,1,,5.410659,43.235675,0,StopArea:CTP-OM14112,,,
StopPoint:OM11817,Morgiou Cauviere,1,,5.409232,43.237271,0,StopArea:CTP-OM14112,,,
StopPoint:OM11818,Morgiou Rosiers,1,,5.407172,43.240378,0,StopArea:CTP-OM14112,,,
StopPoint:OM11819,Morgiou Seigneurie,1,,5.406391,43.242801,0,StopArea:CTP-OM14112,,,
StopPoint:OM11820,Mazargues,1,,5.404054,43.246015,0,StopArea:CTP-OM14112,,,
StopPoint:OM11822,Robespierre,1,,5.401817,43.247895,0,StopArea:CTP-OM14112,,,
StopPoint:OM11823,Zola Concorde,1,,5.399456,43.248134,0,StopArea:CTP-OM14112,,,
