cod_typ_poi;lib_typ_poi;idt_poi;lib_poi;cmt_poi;adr;cod_pst;lib_cmn;coo_x_wgs84;coo_y_wgs84
AGE;Agence commerciale;1457;Agence TCL Givors;;"2 Rue Roger Salengro";69700;Givors;4,772876385468;45,582740599557
AGE;Agence commerciale;1773;Agence TCL La Soie;;"7 Rue Du Rail";69120;Vaulx-En-Velin;4,922117307224;45,760606995138
AGE;Agence commerciale;516;Agence TCL Grange Blanche;;"1 Place D Arsonval";69003;Lyon 3eme;4,878677843708;45,742997683925
AGE;Agence commerciale;550;Agence TCL Bellecour;;"6 Place Bellecour";69002;Lyon 2eme;4,832121175671;45,75855922193
AGE;Agence commerciale;551;Agence TCL Gorge de Loup;;"1 Rue Sergent Michel Berthet";69009;Lyon 9eme;4,805196841581;45,766251723574
AGE;Agence commerciale;556;Agence TCL Part Dieu;;"11 Boulevard Marius Vivier Merle";69003;Lyon 3eme;4,858175302462;45,762047418362
BET;Borne e-Técély;90000;Part-Dieu Centre Commercial;;17 rue du Docteur Bouchut (Tour Oxygène);69003;Lyon;45,761658;4,857313
DEP;Point service;50003;Tabac;LE CLIKE;"37 Cours D Herbouville";69004;Lyon 4eme;4,840742059988;45,778662996651
DEP;Point service;50006;Tabac;PRESSE;"2 Rue D Artique";69120;Vaulx-En-Velin;4,911610954075;45,788431965328
DEP;Point service;50007;Tabac;LE TOSCAN;"141 Rue Professeur Beauvisage";69008;Lyon 8eme;4,866085969316;45,728676958197
DEP;Point service;50010;Papeterie;PRESSE;"68 Boulevard Des Etats-Unis";69008;Lyon 8eme;4,864167013701;45,73333004043
DEP;Point service;50014;Tabac;CHAMPVERT PRESSE;"157 Avenue Berthelemy Buyer";69005;Lyon 5eme;4,796557956807;45,763543032979
DEP;Point service;50015;Multiservices;PIMMS;"35 Rue Du 8 Mai 45";69100;Villeurbanne;4,891792965603;45,779520970159
DEP;Point service;50022;Tabac;LE MONOPOLE;"52 Cours Gambetta";69007;Lyon 7eme;4,846705015256;45,753901991611
DEP;Point service;50029;Multiservices;HUIT A HUIT;"8 Rue Fournier";69800;Saint-Priest;4,955327952855;45,692398031511
DEP;Point service;50060;Tabac;PRESSE;"14 Place Carnot";69002;Lyon 2eme;4,828608977114;45,75025502919
DEP;Point service;50062;Tabac;LE FANTASIO;"33 Avenue Henri Barbusse";69100;Villeurbanne;4,879682970291;45,767503017579
